"N_Policy","Company","Category","Char","Started","Expired","District","Gross","Net","Commissions","id"
"70157702","ΙΝΤΕΡΑΜΕΡΙΚΑΝ","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΙΖΥ154","16/04/2024","16/10/2024","ΑΤΤΙΚΗΣ",13.63,9.83,2.36,1
"70166515","ΙΝΤΕΡΑΜΕΡΙΚΑΝ","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΖΥΖ8206","25/04/2024","25/04/2025","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",27,19.58,2.74,3
"1966182","ΑΤΛΑΝΤΙΚΗ ΕΝΩΣΗ","ΑΥΤΟΚΙΝΗΤΟ","ΖΥΖ8206","25/04/2024","25/04/2025","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",129,86.87,9.56,3
"292511","INTERASCO","ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ)","ΖΥΖ8206","25/04/2024","25/04/2025","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",3,2.01,0.44,3
"806901","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΖΥΖ8206","25/04/2024","25/04/2025","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",4,2.9,0.32,3
"778672","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΑΥΝ222","21/03/2024","21/03/2025","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",4,2.9,0.32,22
"70133831","ΙΝΤΕΡΑΜΕΡΙΚΑΝ","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΑΥΝ222","21/03/2024","21/03/2025","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",27,19.58,4.7,22
"33926385","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΑΥΝ222","21/03/2024","21/03/2025","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",84.33,57.61,5.76,22
"641814","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΡΟ7800","13/10/2023","13/10/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",4,2.9,0.32,12
"33729190","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΡΟ7800","13/10/2023","13/10/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",204.27,140.06,14.01,12
"958066","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΙΡΟ7800","13/10/2023","13/10/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",24,16.7,4.01,12
"683443","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΑΙΝ5331","24/12/2023","24/06/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ",2,1.45,0.16,18
"845046","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΑΙΝ5331","24/06/2024","24/12/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ",2.75,1.99,0.44,18
"70215328","ΙΝΤΕΡΑΜΕΡΙΚΑΝ","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΑΙΝ5331","24/06/2024","24/12/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ",13.63,9.83,2984,18
"966198","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΑΙΝ5331","24/12/2023","24/06/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ",12,8.34,2,18
"34023432","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΑΙΝ5331","24/06/2024","24/12/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ",97.37,66.73,6.67,18
"33791101","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΑΙΝ5331","24/12/2023","24/06/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ",91.99,63,6.3,18
"70144799","ΙΝΤΕΡΑΜΕΡΙΚΑΝ","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΙΒΕ9343","05/04/2024","05/07/2024","ΑΤΤΙΚΗΣ",6.75,4.88,1.17,19
"861374","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΒΕ9343","05/07/2024","05/10/2024","ΑΤΤΙΚΗΣ",1.38,1,0.22,19
"491219","HELVETIA Global Solutions Ltd","ΘΡΑΥΣΗ ΚΡΥΣΤΑΛΛΩΝ","ΙΒΕ9343","05/04/2024","05/07/2024","ΑΤΤΙΚΗΣ",5,3.4,0.44,19
"61527973","myZen by Groupama","ΑΥΤΟΚΙΝΗΤΟ","ΙΒΕ9343","05/04/2024","05/07/2024","ΑΤΤΙΚΗΣ",61.47,43.91,2.21,19
"33847424","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΒΕ9343","05/01/2024","05/04/2024","ΑΤΤΙΚΗΣ",81.17,55.72,5.57,19
"707624","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΒΕ9343","05/01/2024","05/04/2024","ΑΤΤΙΚΗΣ",1,0.72,0.08,19
